fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.056,other,39.0,0.16,0.87,0.1,,,,,,0.84,3,1,3,1,0,,2,149116,853,153294,2864510,235,1542,1119,92,,130,109,16,,625,1269725,455580,395164,2021-11-29,https://covidactnow.org/us/alaska-ak,0.623,0.54,0,946031,3
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.052,other,6.4,0.26,0.83,0.1,,,,,,0.85,1,1,1,1,0,,2,842543,16115,796293,5474435,404,15038,11008,410,,1597,1361,110,,157,7847520,2755913,2254666,2021-11-29,https://covidactnow.org/us/alabama-al,0.562,0.46,0,5191035,1
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.066,other,16.2,0.32,0.99,0.1,,,,,,0.75,2,1,2,1,1,,1,527587,8653,326038,3530705,790,7757,5255,357,,682,510,114,,374,4877430,1809847,1480277,2021-11-29,https://covidactnow.org/us/arkansas-ar,0.6,0.491,0,3474961,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.144,other,45.1,0.02,1.0,0.1,,,,,,0.7,3,2,3,2,1,,0,1263507,22229,1278533,10287231,396,17195,13345,2611,,2226,1560,593,,2274,11718130,4641772,3961885,2021-11-29,https://covidactnow.org/us/arizona-az,0.638,0.544,5,9458251,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.021,other,13.2,0.41,0.93,0.1,,,,,,0.76,2,0,2,1,1,,1,5063311,74385,5068305,90587297,10600,64130,50288,3451,,7041,5348,863,,4572,70403965,30886780,24827738,2021-11-29,https://covidactnow.org/us/california-ca,0.782,0.628,11,58715000,2
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.091,other,41.0,0.11,0.84,0.1,,,,,,0.8,3,1,3,1,0,,1,826963,9289,830001,10939956,1300,11740,8697,1558,,1319,1060,519,,916,10105605,4085143,3623786,2021-11-29,https://covidactnow.org/us/colorado-co,0.709,0.629,15,8488178,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.043,other,22.3,0.22,1.23,0.1,,,,,,0.57,2,1,2,1,2,,0,417649,8865,547454,11305648,860,8190,6504,348,,1025,580,66,,1900,6806625,2970430,2558052,2021-11-29,https://covidactnow.org/us/connecticut-ct,0.833,0.717,0,5898047,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.015,other,9.8,0.78,0.82,0.18,,,,,,0.77,1,0,1,1,0,,1,66510,1196,96290,3218683,268,3450,2601,82,,338,260,13,,0,1450815,568837,452301,2021-11-29,https://covidactnow.org/us/district_of_columbia-dc,0.806,0.641,0,1154472,2
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.079,other,33.5,0.13,1.06,0.1,,,,,,0.84,3,1,3,1,1,,2,152670,2173,172109,2702547,211,3503,2593,188,,192,162,22,,263,1856355,694961,593295,2021-11-29,https://covidactnow.org/us/delaware-de,0.714,0.609,0,1387212,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.028,other,6.5,0.37,0.96,0.1,,,,,,0.74,1,0,1,1,1,,1,3681129,61147,4360540,39220738,2600,58277,44540,1375,,6370,4742,256,,1605,38538075,15318838,13100793,2021-11-29,https://covidactnow.org/us/florida-fl,0.713,0.61,0,30501707,1
